latitude,longitude,geological_unit,rock_type,lithology_category,stratigraphy,group_name,major_minerals
14.831522,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.831522,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.295045,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.509259,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.527778,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.313063,77.546296,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.313063,77.564815,,Banded gneiss,Banded gneiss,Palaeoarchaean to Mesoarchaean,,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.313063,77.583333,,Granite,Granite,Archaean - Palaeoproterozoic,Peninsular Gneissic Complex II,"Plagioclase, orthoclase, microcline, orthoclase microcline perthite, quartz, hornblende, biotite"
14.313063,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.313063,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.331081,77.509259,,Hornblende actinolite schist,METABASALT/HORNBLENDE ACTIONOLITE SCHIST,Mesoarchaean to Neoarchaean,Ramagiri-Penakacherla,"hornblende, actinolite, plagioclase, quartz"
14.349099,77.352421,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.371043,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.389665,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.408287,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.426909,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.445531,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.464153,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.349099,77.482775,,RAMAGIRI GRANITE,GREY PORPHYRITIC GRANITE/SHEARED GRANITE(RAMAGIRI GRANITE),Palaeoproterozoic,,"quartz, microcline, microcline perthite, orthoclase, plagioclase, biotite, hornblende"
14.349099,77.5,,Hornblende actinolite schist,METABASALT/HORNBLENDE ACTIONOLITE SCHIST,Mesoarchaean to Neoarchaean,Ramagiri-Penakacherla,"hornblende, actinolite, plagioclase, quartz"
14.367117,77.259311,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.277933,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.296555,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.315177,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.333799,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.352421,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.371043,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.389665,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.408287,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.426909,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.445531,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.464153,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.367117,77.482775,,RAMAGIRI GRANITE,GREY PORPHYRITIC GRANITE/SHEARED GRANITE(RAMAGIRI GRANITE),Palaeoproterozoic,,"quartz, microcline, microcline perthite, orthoclase, plagioclase, biotite, hornblende"
14.367117,77.5,,Hornblende actinolite schist,METABASALT/HORNBLENDE ACTIONOLITE SCHIST,Mesoarchaean to Neoarchaean,Ramagiri-Penakacherla,"hornblende, actinolite, plagioclase, quartz"
14.385233,77.259311,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.831522,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.831522,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.831522,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.831522,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.831522,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.509259,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.527778,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.546296,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.564815,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.583333,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.601852,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.62037,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.638889,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.657407,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.675926,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.694444,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.712963,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.731481,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.849638,77.749999,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.509259,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.527778,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
14.867754,77.546296,Peninsular Gneissic Complex,Overburden,Overburden,Archaean,Dharwar Supergroup,Quartz and Feldspar
